task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
78	63/d185b5	5124293	assembly:nextpolish (S116)	COMPLETED	0	2021-07-23 03:57:59.698	8m 40s	8m 12s	331.9%	1.6 GB	46.3 GB	11.1 GB	8.3 GB
79	4f/04de2c	5124294	assembly:medaka_cpu (S34)	COMPLETED	0	2021-07-23 03:59:04.741	7m 50s	7m 30s	381.4%	5.6 GB	12.6 GB	6.9 GB	4.2 GB
83	f0/05fde9	5124302	assembly:fixstart (S116)	COMPLETED	0	2021-07-23 04:06:40.018	1m 40s	1m 27s	94.4%	199.1 MB	349.4 MB	254 MB	249.6 MB
85	2e/2bd6ae	5124304	assembly:quast (S116)	COMPLETED	0	2021-07-23 04:08:19.820	39.9s	6.4s	51.6%	88.2 MB	254.9 MB	65.6 MB	9 MB
82	51/c321bd	5124300	assembly:nextpolish (S39)	COMPLETED	0	2021-07-23 04:04:54.711	8m 25s	7m 53s	339.1%	1.9 GB	54.6 GB	12 GB	8.9 GB
86	3f/a8c753	5124324	assembly:fixstart (S39)	COMPLETED	0	2021-07-23 04:13:19.795	1m 30s	1m 17s	94.6%	210 MB	357.5 MB	268.5 MB	264.1 MB
87	d4/75e79a	5124326	assembly:quast (S39)	COMPLETED	0	2021-07-23 04:14:49.780	20s	7.3s	70.3%	88.6 MB	255 MB	67 MB	9.3 MB
84	ed/185ae6	5124303	assembly:nextpolish (S34)	COMPLETED	0	2021-07-23 04:06:54.716	8m 30s	8m	334.3%	1.6 GB	45.1 GB	11.9 GB	9 GB
88	33/16f97b	5124327	assembly:fixstart (S34)	COMPLETED	0	2021-07-23 04:15:24.838	1m 20s	1m 5s	94.7%	208.1 MB	355.2 MB	264 MB	259.7 MB
89	b4/eea6b1	5124328	assembly:quast (S34)	COMPLETED	0	2021-07-23 04:16:44.814	19.9s	6.4s	70.9%	87.7 MB	253.4 MB	66.1 MB	9.2 MB
66	26/2ae359	5124270	assembly:racon_cpu (S97)	COMPLETED	0	2021-07-23 03:24:59.598	58m 50s	58m 34s	377.3%	3.3 GB	3.6 GB	17.1 GB	8.7 GB
90	76/e0d0e7	5124338	assembly:medaka_cpu (S97)	COMPLETED	0	2021-07-23 04:23:49.820	6m 40s	6m 25s	419.5%	5.7 GB	12.4 GB	7.8 GB	4.8 GB
62	3d/2825d9	5124259	assembly:flye (EC958)	COMPLETED	0	2021-07-23 03:13:14.535	1h 18m 32s	1h 18m	302.1%	11.1 GB	11.6 GB	48.4 GB	35 GB
91	c8/7753d0	5124341	assembly:nextpolish (S97)	COMPLETED	0	2021-07-23 04:30:29.773	7m 25s	7m 12s	328.4%	1.9 GB	57.8 GB	10.8 GB	8.1 GB
93	5b/21c17e	5124345	assembly:fixstart (S97)	COMPLETED	0	2021-07-23 04:37:54.781	1m 30s	1m 20s	94.9%	212 MB	359.3 MB	269.7 MB	265.5 MB
94	91/cbb24b	5124346	assembly:quast (S97)	COMPLETED	0	2021-07-23 04:39:24.819	19.9s	5.5s	76.5%	87.1 MB	255.3 MB	67.2 MB	9.3 MB
92	cc/ba1340	5124342	assembly:racon_cpu (EC958)	COMPLETED	0	2021-07-23 04:31:46.538	1h 48m 3s	1h 47m 50s	383.2%	5.1 GB	5.3 GB	26.5 GB	13.5 GB
95	4e/bc14af	5124381	assembly:medaka_cpu (EC958)	COMPLETED	0	2021-07-23 06:19:50.044	8m 45s	8m 32s	419.0%	5.9 GB	12.8 GB	11.9 GB	7.4 GB
96	c9/ebdbbe	5124385	assembly:nextpolish (EC958)	COMPLETED	0	2021-07-23 06:28:34.952	14m 25s	14m 10s	352.9%	4 GB	71.3 GB	16.2 GB	12.4 GB
97	13/2e8701	5124388	assembly:fixstart (EC958)	COMPLETED	0	2021-07-23 06:43:00.017	1m 45s	1m 32s	94.1%	207.1 MB	354.7 MB	261.3 MB	257.1 MB
98	67/089d85	5124389	assembly:quast (EC958)	COMPLETED	0	2021-07-23 06:44:45.665	14.3s	3.7s	71.7%	77.5 MB	243.9 MB	66.4 MB	9.2 MB
